PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-04-23,12.64, 11.28, 4.27, 3.21, 3.16, 8.72, suppf,
2023-04-24,14.10, 18.96, 4.47, 3.16, 3.11, 8.54, suppf,
2023-04-25,12.16, 14.25, -0.49, 3.17, 3.13, 8.94, suppf,
2023-04-26,13.60, 18.99, 2.16, 3.16, 3.1, 8.77, suppf,
2023-04-27,15.20, 20.80, 10.57, 3.23, 3.19, 8.34, suppf,
2023-04-28,15.56, 12.82, 0.93, 3.2, 3.13, 8.94, suppf,
2023-04-29,13.70, 13.63, -1.76, 3.2, 3.14, 8.48, suppf,
2023-04-30,14.70, 17.62, -6.69, 3.32, 3.23, 9.39, suppf,
2023-05-01,15.50, 20.05, -7.17, 3.23, 3.18, 9.04, suppf,
2023-05-02,11.77, 17.33, -3.76, 3.41, 3.32, 9.33, suppf,
2023-05-03,7.51, 22.28, -11.41, 3.18, 3.14, 9.01, suppf,
2023-05-04,10.82, 22.33, -1.37, 3.19, 3.09, 9.04, suppf,
2023-05-05,9.00, 23.03, -5.70, 3.18, 3.14, 9.06, suppf,
2023-05-06,12.95, 22.98, 1.66, 3.12, 3.06, 8.78, suppf,
2023-05-07,16.01, 18.71, -6.59, 3.13, 3.11, 8.74, suppf,
2023-05-08,13.90, 14.81, -10.70, 3.21, 3.17, 9.27, suppf,
2023-05-09,7.31, 17.20, -12.90, 3.45, 3.37, 9.37, suppf,
2023-05-10,4.53, 15.28, -7.98, 3.3, 3.25, 9.58, suppf,
2023-05-11,7.54, 20.61, -0.23, 3.15, 3.11, 8.86, suppf,
2023-05-12,7.97, 12.28, -4.86, 3.17, 3.12, 8.3, suppf,
2023-05-13,9.98, 15.77, 1.27, 3.37, 3.31, 9.16, suppf,
2023-05-14,10.75, 22.08, -0.94, 3.33, 3.27, 9.04, suppf,
2023-05-15,11.59, 20.71, -0.77, 3.35, 3.28, 9.25, suppf,
2023-05-16,14.69, 21.57, 1.83, 3.42, 3.35, 9.37, suppf,
2023-05-17,10.37, 26.02, -12.01, 3.3, 3.23, 9.7, suppf,
